factor_name_list,factor_name_ROC
EIF2AK2;IFI44;IFITM3;TRIM22;XAF1,0.635
EIF2AK2;IFI44;IFITM3;TRIM22;ZBP1,0.659
EIF2AK2;IFI44;IFITM3;XAF1;ZBP1,0.723
EIF2AK2;IFI44;PARP9;PRIC285;TRIM22,0.875
EIF2AK2;IFI44;PARP9;PRIC285;XAF1,0.876
EIF2AK2;IFI44;PARP9;PRIC285;ZBP1,0.859
EIF2AK2;IFI44;PARP9;TRIM22;XAF1,0.913
EIF2AK2;IFI44;PARP9;TRIM22;ZBP1,0.875
EIF2AK2;IFI44;PARP9;XAF1;ZBP1,0.86
EIF2AK2;IFI44;PRIC285;TRIM22;XAF1,0.869
EIF2AK2;IFI44;PRIC285;TRIM22;ZBP1,0.808
EIF2AK2;IFI44;PRIC285;XAF1;ZBP1,0.92
EIF2AK2;IFI44;TRIM22;XAF1;ZBP1,0.834
EIF2AK2;IFI44L;IFIT3;IFITM3;PARP9,0.63
EIF2AK2;IFI44L;IFIT3;IFITM3;PRIC285,0.689
EIF2AK2;IFI44L;IFIT3;IFITM3;TRIM22,0.627
EIF2AK2;IFI44L;IFIT3;IFITM3;XAF1,0.715
EIF2AK2;IFI44L;IFIT3;IFITM3;ZBP1,0.694
EIF2AK2;IFI44L;IFIT3;PARP9;PRIC285,0.815
EIF2AK2;IFI44L;IFIT3;PARP9;TRIM22,0.755
EIF2AK2;IFI44L;IFIT3;PARP9;XAF1,0.797
EIF2AK2;IFI44L;IFIT3;PARP9;ZBP1,0.799
EIF2AK2;IFI44L;IFIT3;PRIC285;TRIM22,0.79
EIF2AK2;IFI44L;IFIT3;PRIC285;XAF1,0.901
EIF2AK2;IFI44L;IFIT3;PRIC285;ZBP1,0.923
EIF2AK2;IFI44L;IFIT3;TRIM22;XAF1,0.749
EIF2AK2;IFI44L;IFIT3;TRIM22;ZBP1,0.806
EIF2AK2;IFI44L;IFIT3;XAF1;ZBP1,0.908
EIF2AK2;IFI44L;IFITM3;PARP9;PRIC285,0.776
EIF2AK2;IFI44L;IFITM3;PARP9;TRIM22,0.781
EIF2AK2;IFI44L;IFITM3;PARP9;XAF1,0.792
EIF2AK2;IFI44L;IFITM3;PARP9;ZBP1,0.783
EIF2AK2;IFI44L;IFITM3;PRIC285;TRIM22,0.667
EIF2AK2;IFI44L;IFITM3;PRIC285;XAF1,0.746
EIF2AK2;IFI44L;IFITM3;PRIC285;ZBP1,0.7
EIF2AK2;IFI44L;IFITM3;TRIM22;XAF1,0.663
EIF2AK2;IFI44L;IFITM3;TRIM22;ZBP1,0.639
EIF2AK2;IFI44L;IFITM3;XAF1;ZBP1,0.698
EIF2AK2;IFI44L;PARP9;PRIC285;TRIM22,0.854
EIF2AK2;IFI44L;PARP9;PRIC285;XAF1,0.886
EIF2AK2;IFI44L;PARP9;PRIC285;ZBP1,0.85
EIF2AK2;IFI44L;PARP9;TRIM22;XAF1,0.859
EIF2AK2;IFI44L;PARP9;TRIM22;ZBP1,0.813
EIF2AK2;IFI44L;PARP9;XAF1;ZBP1,0.888
EIF2AK2;IFI44L;PRIC285;TRIM22;XAF1,0.799
EIF2AK2;IFI44L;PRIC285;TRIM22;ZBP1,0.814
EIF2AK2;IFI44L;PRIC285;XAF1;ZBP1,0.906
EIF2AK2;IFI44L;TRIM22;XAF1;ZBP1,0.81
EIF2AK2;IFIT3;IFITM3;PARP9;PRIC285,0.773
EIF2AK2;IFIT3;IFITM3;PARP9;TRIM22,0.684
EIF2AK2;IFIT3;IFITM3;PARP9;XAF1,0.792
EIF2AK2;IFIT3;IFITM3;PARP9;ZBP1,0.731
EIF2AK2;IFIT3;IFITM3;PRIC285;TRIM22,0.556
EIF2AK2;IFIT3;IFITM3;PRIC285;XAF1,0.7
EIF2AK2;IFIT3;IFITM3;PRIC285;ZBP1,0.7
EIF2AK2;IFIT3;IFITM3;TRIM22;XAF1,0.5
EIF2AK2;IFIT3;IFITM3;TRIM22;ZBP1,0.583
EIF2AK2;IFIT3;IFITM3;XAF1;ZBP1,0.7
EIF2AK2;IFIT3;PARP9;PRIC285;TRIM22,0.82
EIF2AK2;IFIT3;PARP9;PRIC285;XAF1,0.864
EIF2AK2;IFIT3;PARP9;PRIC285;ZBP1,0.626
EIF2AK2;IFIT3;PARP9;TRIM22;XAF1,0.801
EIF2AK2;IFIT3;PARP9;TRIM22;ZBP1,0.778
EIF2AK2;IFIT3;PARP9;XAF1;ZBP1,0.818
EIF2AK2;IFIT3;PRIC285;TRIM22;XAF1,0.528
EIF2AK2;IFIT3;PRIC285;TRIM22;ZBP1,0.607
EIF2AK2;IFIT3;PRIC285;XAF1;ZBP1,0.845
EIF2AK2;IFIT3;TRIM22;XAF1;ZBP1,0.556
EIF2AK2;IFITM3;PARP9;PRIC285;TRIM22,0.684
EIF2AK2;IFITM3;PARP9;PRIC285;XAF1,0.728
EIF2AK2;IFITM3;PARP9;PRIC285;ZBP1,0.733
EIF2AK2;IFITM3;PARP9;TRIM22;XAF1,0.663
EIF2AK2;IFITM3;PARP9;TRIM22;ZBP1,0.684
EIF2AK2;IFITM3;PARP9;XAF1;ZBP1,0.705
EIF2AK2;IFITM3;PRIC285;TRIM22;XAF1,0.5
EIF2AK2;IFITM3;PRIC285;TRIM22;ZBP1,0.583
EIF2AK2;IFITM3;PRIC285;XAF1;ZBP1,0.704
EIF2AK2;IFITM3;TRIM22;XAF1;ZBP1,0.5
EIF2AK2;PARP9;PRIC285;TRIM22;XAF1,0.801
EIF2AK2;PARP9;PRIC285;TRIM22;ZBP1,0.797
EIF2AK2;PARP9;PRIC285;XAF1;ZBP1,0.849
EIF2AK2;PARP9;TRIM22;XAF1;ZBP1,0.777
EIF2AK2;PRIC285;TRIM22;XAF1;ZBP1,0.583
IFI44;IFI44L;IFIT3;IFITM3;PARP9,0.789
IFI44;IFI44L;IFIT3;IFITM3;PRIC285,0.741
IFI44;IFI44L;IFIT3;IFITM3;TRIM22,0.611
IFI44;IFI44L;IFIT3;IFITM3;XAF1,0.696
IFI44;IFI44L;IFIT3;IFITM3;ZBP1,0.697
IFI44;IFI44L;IFIT3;PARP9;PRIC285,0.829
IFI44;IFI44L;IFIT3;PARP9;TRIM22,0.822
IFI44;IFI44L;IFIT3;PARP9;XAF1,0.878
IFI44;IFI44L;IFIT3;PARP9;ZBP1,0.856
IFI44;IFI44L;IFIT3;PRIC285;TRIM22,0.821
